,Time,headlines
176,"September 20th, 2019 8:21 am",Explosions and motorway stone throwing: another typical day in Denmark 
177,"September 19th, 2019 10:21 am",Danish News Round-Up: Wanted man charged with detonating bomb outside tax offices 
178,"September 19th, 2019 8:41 am",Danes sick of heavy traffic on their local streets 
179,"September 19th, 2019 8:07 am",Denmark on the verge of a whooping cough epidemic 
180,"September 18th, 2019 3:10 pm",Danish school children leading the fight to tackle plastic pollution in the water 
181,"September 18th, 2019 2:00 pm",Majority of unlawfully killed women in Denmark die at the hands of their partners 
182,"September 18th, 2019 11:39 am",Culture Round-Up: Danish link to what could be the next ‘Inception’ 
183,"September 18th, 2019 9:11 am",Another explosion hits Copenhagen – this time outside a pizzeria in Vanløse 
184,"September 17th, 2019 4:58 pm",Taylor Swift confirmed for 2020 Roskilde Festival 
185,"September 17th, 2019 4:34 pm",If the Guardian’s head was any further up Denmark’s arse … it would be colonisation 
186,"September 17th, 2019 4:11 pm",Copenhagen restaurant serves some of the world’s best pizza slices 
187,"September 17th, 2019 1:36 pm",Danish News Round-Up: Beverage wholesaler body wants ban on mid-teens buying beer and wine 
188,"September 17th, 2019 9:31 am",Danish News Round-Up: Court refuses to resume circumcision case involving Danish-Somali couple 
189,"September 16th, 2019 4:07 pm",Local Round-Up: Metro crash bad timing ahead of big opening! 
190,"September 16th, 2019 12:16 pm",International Round-Up: Previous government considered building wall on German border 
191,"September 16th, 2019 9:28 am",Trial of trio accused of acquiring drone parts for IS starts today 
192,"September 13th, 2019 6:16 pm",Local Round-Up: Vandals do their best to postpone Metro opening again 
193,"September 13th, 2019 12:58 pm",Danish News Round-Up: Facebook data centre opens ahead of schedule 
194,"September 12th, 2019 5:08 pm","Like a freshers fair, but for new arrivals to the country not college "
195,"September 12th, 2019 9:18 am",Lonely Planet warns about overtourism in Copenhagen 
196,"September 11th, 2019 3:31 pm",University of Copenhagen encourages lecturers to contribute to inclusive education environment 
197,"September 11th, 2019 3:03 pm",Copenhagen Metro to open in style with huge party on September 29 
198,"September 11th, 2019 12:00 pm",Danish health authority urges against the use of e-cigarettes 
199,"September 11th, 2019 9:44 am",Danish Crown opens new factory in China 
200,"September 11th, 2019 9:10 am",Maersk closes gap on Lego as Denmark’s most valuable brand 
201,"September 10th, 2019 12:30 pm",Mobile phone usage in the car can now cost your drivers licence 
202,"September 10th, 2019 11:01 am",Full farts ahead: Tivoli wants us all to eat more organic fast food! 
203,"September 10th, 2019 10:26 am",Cars to be banned on Amalienborg Palace Square over terror fears 
204,"September 9th, 2019 12:00 pm",Denmark with massive food push in China 
205,"September 9th, 2019 10:19 am",Danish university puts halt on cadaver donation 
206,"September 9th, 2019 5:37 am",Fact or fiction: Denmark’s climate aspirations going up in smoke? 
207,"September 8th, 2019 1:49 pm",High number of public sector employees taking pills 
208,"September 8th, 2019 5:55 am",Copenhagen Capacity: The importance of learning Danish for work 
209,"September 6th, 2019 7:00 pm",Copenhagen hotel on promising new opening list 
210,"September 6th, 2019 4:30 pm",Denmark: hard to settle if you’re an expat 
211,"September 6th, 2019 2:00 pm",Queen Margrethe: Donald Trump invitation still stands 
212,"September 6th, 2019 1:00 pm",Government and municipalities ink 2020 budget agreement 
213,"September 6th, 2019 12:03 pm",Christiania ‘hash brownies’ put seven in hospital 
214,"September 6th, 2019 11:27 am",New company to help Danes fight unfair parking tickets 
215,"September 6th, 2019 9:30 am",Like a rock! Denmark smash Gibraltar in Euro 2020 quals 
216,"September 5th, 2019 5:58 pm",Sports Round-Up: All hail the lord as Bendtner shirts sell out in 17 hours 
217,"September 5th, 2019 4:50 pm",Transport Round-Up: Buckle up for the Danish version of ‘Top Gear’ 
218,"September 5th, 2019 3:34 pm",Science Round-Up: Unknown amount of Danish plastic ending up in Asia 
219,"September 5th, 2019 2:39 pm",Danish Round-Up: 1.5 billion kroner a year boost for healthcare 
220,"September 5th, 2019 10:59 am",Denmark wants more gender equality in parental law 
221,"September 4th, 2019 9:58 am",Copenhagen named among most liveable cities in the world 
222,"September 4th, 2019 9:14 am",Copenhagen among safest cities in the world 
223,"September 3rd, 2019 2:35 pm",Government extends temporary grant to poor families 
